device_id, CreateTime, RecvTime, Data
1, , 2019-10-16 19:14:10.995000, 25015941
1, , 2019-10-16 19:14:18.077000, 25023027
1, , 2019-10-16 19:14:25.948000, 25030110
1, , 2019-10-16 19:14:33.018000, 25037987
1, , 2019-10-16 19:14:40.921000, 25045057
1, , 2019-10-16 19:14:47.146000, 25052125
1, , 2019-10-16 19:14:54.208000, 25059192
1, , 2019-10-16 19:15:01.277000, 25066259
1, , 2019-10-16 19:15:08.341000, 25073330
1, , 2019-10-16 19:15:15.407000, 25080397
1, , 2019-10-16 19:15:22.471000, 25087465
1, , 2019-10-16 19:15:29.537000, 25094532
1, , 2019-10-16 19:15:36.604000, 25101601
1, , 2019-10-16 19:15:43.661000, 25108669
1, , 2019-10-16 19:15:50.735000, 25115737
1, , 2019-10-16 19:15:57.802000, 25122805
1, , 2019-10-16 19:16:04.867000, 25129872
1, , 2019-10-16 19:16:11.923000, 25136939
1, , 2019-10-16 19:16:19.951000, 25144007
1, , 2019-10-16 19:16:29.126000, 25152028
1, , 2019-10-16 19:16:36.104000, 25161123
1, , 2019-10-16 19:16:43.177000, 25168194
1, , 2019-10-16 19:16:50.250000, 25175261
1, , 2019-10-16 19:16:57.312000, 25182329
1, , 2019-10-16 19:17:04.378000, 25189397
1, , 2019-10-16 19:17:11.445000, 25196464
1, , 2019-10-16 19:17:18.510000, 25203531
1, , 2019-10-16 19:17:25.575000, 25210599
1, , 2019-10-16 19:17:32.644000, 25217666
1, , 2019-10-16 19:17:39.710000, 25224734
1, , 2019-10-16 19:17:46.777000, 25231802
1, , 2019-10-16 19:17:53.841000, 25238870
1, , 2019-10-16 19:18:02.130000, 25245937
1, , 2019-10-16 19:18:08.989000, 25254005
1, , 2019-10-16 19:18:16.054000, 25261089
1, , 2019-10-16 19:18:23.122000, 25268156
1, , 2019-10-16 19:18:30.193000, 25275225
1, , 2019-10-16 19:18:37.259000, 25282298
1, , 2019-10-16 19:18:44.325000, 25289367
1, , 2019-10-16 19:18:51.390000, 25296434
1, , 2019-10-16 19:18:58.453000, 25303501
1, , 2019-10-16 19:19:06.144000, 25310568
1, , 2019-10-16 19:19:12.222000, 25317273
1, , 2019-10-16 19:19:19.285000, 25324340
1, , 2019-10-16 19:19:27.133000, 25331407
1, , 2019-10-16 19:19:33.418000, 25338476
1, , 2019-10-16 19:19:40.506000, 25345544
